 45           Botran    1000.0 0.50     4.0    10.0 0.75      7.000
 46            Bravo    1380.0 0.50     5.0    30.0 0.75      0.600
 47          Buctril   10000.0 0.20     3.0     7.0 0.75      0.080
 48    Butyrac Ester     500.0 0.45     7.0     7.0 0.75      8.000
 49          Caparol     400.0 0.50    10.0    60.0 0.75     33.000
 50        Carbamate     300.0 0.90     3.0    17.0 0.75    120.000
 51         Carsoron     400.0 0.45     5.0    60.0 0.75     21.200
 52           Carzol 1000000.0 0.95    30.0   100.0 0.75 500000.000
 53           Cerone  100000.0 0.95     5.0    10.0 0.751239000.000
 54         Chem-Hoe     200.0 0.50     2.0    10.0 0.75    250.000
 55        Chlordane  100000.0 0.05     2.5   100.0 0.75      0.100
 56          Chopper     100.0 0.80    30.0    90.0 0.75 500000.000
 57          Classic     110.0 0.90    15.0    40.0 0.75   1200.000
 58            Cobra  100000.0 0.20     2.0     3.0 0.75      0.100
 59           Comite    4000.0 0.20     5.0    56.0 0.75      0.500
 60          Command     300.0 0.80     3.0    24.0 0.75   1000.000
 61          Cotoran     100.0 0.50    30.0    85.0 0.75    110.000
 62          Counter     500.0 0.60     2.5     5.0 0.75      5.000
 63         Crossbow      20.0 0.95    15.0    46.0 0.752100000.000
 64         Curacron    2000.0 0.90     3.0     8.0 0.75     28.000
 65            Cygon      20.0 0.95     3.0     7.0 0.75  39800.000
 66           Cyprex  100000.0 0.50    10.0    20.0 0.75    700.000
 67          Cythion    1800.0 0.90     1.0     1.0 0.75    130.000
 68         Dacamine      20.0 0.45     5.0    10.0 0.75    890.000
 69          Dacthal    5000.0 0.30    10.0   100.0 0.75      0.500
 70          Dalapon       1.0 0.95    37.0    30.0 0.75 900000.000
 71          Dasanit   10000.0 0.90     4.0    24.0 0.75      0.010
 72              DDT  240000.0 0.05    10.0   120.0 0.75      0.100
 73          Dedweed      20.0 0.95     7.0    25.0 0.75 866000.000
 74              DEF    5000.0 0.25     7.0    30.0 0.75      2.300
 75   Dessicant L-10  100000.0 0.95 10000.0 10000.0 0.75  17000.000
 76         Devrinol     400.0 0.60    15.0    70.0 0.75     74.000
 77        Di-Syston     600.0 0.50     3.0    30.0 0.75     25.000
 78           Dibrom     180.0 0.90     5.0     1.0 0.75   2000.000
 79         Dieldrin   50000.0 0.05     5.0  1400.0 0.75      0.100
 80          Dimilin   10000.0 0.05    27.0    10.0 0.75      0.080
 81          Dinitro     500.0 0.60     3.0    20.0 0.75     50.000
 82           Diquat 1000000.0 0.95    30.0  1000.0 0.75 718000.000
 83          Dithane    2000.0 0.25    10.0    70.0 0.75      6.000
 84           Dowpon       4.0 0.95    37.0    30.0 0.75   1000.000
 85            Dropp     110.0 0.40     3.0    10.0 0.75     20.000
 86             DSMA  100000.0 0.95    30.0  1000.0 0.751400000.000
 87           Du-ter   23000.0 0.40    18.0    75.0 0.75      1.000
 88             Dual     200.0 0.60     5.0    90.0 0.75    530.000
 89         Dyfonate     870.0 0.60     2.5    40.0 0.75     16.900
 90            Dylox      10.0 0.95     3.0    10.0 0.75 120000.000
 91            Dymid     210.0 0.80     5.0    30.0 0.75    260.000
 92           Dyrene    3000.0 0.50     5.0     1.0 0.75      8.000
 93          Elgetol      20.0 0.95     8.0    20.0 0.75 100000.000
 94              EPN   13000.0 0.60     5.0     5.0 0.75      0.500
 95        Eradicane     200.0 0.75     3.0     6.0 0.75    344.000
 96          Ethanox   10000.0 0.65     7.0   150.0 0.75      1.100
 97             Evik     300.0 0.65     5.0    60.0 0.75    185.000
 98           Evital     600.0 0.50    15.0    90.0 0.75     28.000
 99           Far-Go    2400.0 0.40    15.0    82.0 0.75      4.000
100         Fenatrol      20.0 0.95    30.0   180.0 0.75 500000.000
101          Fenitox    2000.0 0.90     3.0     8.0 0.75     30.000
102     Fruitone CPA      20.0 0.95     3.0    10.0 0.75 200000.000
103           Fundal  100000.0 0.90     1.0    60.0 0.75 500000.000
104         Funginex     540.0 0.80     5.0    21.0 0.75     30.000
105          Furadan      22.0 0.55     2.0    50.0 0.75    351.000
106         Fusilade    5700.0 0.40     4.0    15.0 0.75      2.000
107            Glean      40.0 0.75    30.0   160.0 0.75   7000.000
108             Goal  100000.0 0.40     8.0    35.0 0.75      0.100
109          Guthion    1000.0 0.65     2.0    10.0 0.75     29.000
110          Harmony      45.0 0.80     3.0    12.0 0.75   2400.000
111          Harvade      10.0 0.80     3.0    10.0 0.75   3000.000
112           Hoelon   16000.0 0.45     8.0    37.0 0.75      0.800
113            Hyvar      32.0 0.75    20.0    60.0 0.75    700.000
114           Imidan     820.0 0.90     3.0    19.0 0.75     20.000
115           Isotox    1100.0 0.05     2.5   400.0 0.75      7.300
116           Karate  180000.0 0.40     5.0    30.0 0.75      0.005
117        Karathane     550.0 0.30     8.0    20.0 0.75      4.000
118           Karmex     480.0 0.45    30.0    90.0 0.75     42.000
119         Kelthane  180000.0 0.05     4.0    60.0 0.75      1.000
120             Kerb     200.0 0.30    20.0    60.0 0.75     15.000
121          Krenite     150.0 0.95     4.0     8.0 0.751790000.000
122          Lannate      72.0 0.55     0.5    30.0 0.75  58000.000
123         Larvadex     200.0 0.95    30.0   150.0 0.75 136000.000
124           Larvin     350.0 0.70     4.0     7.0 0.75     19.100
125            Lasso     170.0 0.40     3.0    15.0 0.75    240.000
126            Limit    1000.0 0.70     8.0    20.0 0.75     10.000
127          Lontrel       6.0 0.95     2.0    30.0 0.75 300000.000
128            Lorox     400.0 0.60    15.0    60.0 0.75     75.000
129          Lorsban    6070.0 0.65     3.3    30.0 0.75      0.400
130          Manzate    1000.0 0.65     3.0    12.0 0.75      6.000
131          Marlate   80000.0 0.05     6.0   120.0 0.75      0.100
132          Matacil     100.0 0.90     4.0     6.0 0.75    915.000
133           Mavrik 1000000.0 0.40     7.0    30.0 0.75      0.005
134       Metasystox      10.0 0.95     3.0    10.0 0.751000000.000
135         Milogard     154.0 0.45     5.0   135.0 0.75      8.600
136            Miral     100.0 0.65     5.0    34.0 0.75     69.000
137            Mitac    1000.0 0.45     1.0     2.0 0.75      1.000
138           Modown   10000.0 0.40     3.0     7.0 0.75      0.400
139          Monitor       5.0 0.95     4.0     6.0 0.751000000.000
140         Morestan    2300.0 0.50    10.0    30.0 0.75      1.000
141          Nemacur     240.0 0.70     5.0     5.0 0.75    400.000
142  Nemacur Sulfone      45.0 0.70    18.0    18.0 0.75    400.000
143Nemacur Sulfoxide      40.0 0.70    42.0    42.0 0.75    400.000
144           Norton     340.0 0.65    10.0    30.0 0.75     50.000
145           Octave     500.0 0.50    30.0   120.0 0.75     34.000
146          Oftanol     600.0 0.65    30.0   150.0 0.75     24.000
147          Orthene       2.0 0.70     2.5     3.0 0.75 818000.000
148        Orthocide     200.0 0.65     9.0     2.5 0.75      5.100
149             Oust      78.0 0.65    10.0    20.0 0.75     70.000
150          Pay-Off  100000.0 0.40     5.0    21.0 0.75      0.060
151        Penncap-M    5100.0 0.90     3.0     5.0 0.75     60.000
152         Phenatox  100000.0 0.05     2.0     9.0 0.75      3.000
153         Phosdrin      44.0 0.95     0.6     3.0 0.75 600000.000
154          Phoskil    5000.0 0.70     4.0    14.0 0.75     24.000
155           Pipron    5000.0 0.60    10.0    30.0 0.75     20.000
156              Pix 1000000.0 0.95    30.0  1000.0 0.751000000.000
157         Plantvax      95.0 0.70    10.0    20.0 0.75   1000.000
158            Poast     100.0 0.70     3.0     5.0 0.75   4390.000
159          Polyram  500000.0 0.40     7.0    20.0 0.75      0.100
160           Pounce  100000.0 0.30     8.0    30.0 0.75      0.006
161         Pramitol     150.0 0.75    30.0   500.0 0.75    720.000
162           Prefar    1000.0 0.40    30.0   120.0 0.75      5.600
163          Prelude 1000000.0 0.60    30.0  1000.0 0.75 620000.000
164            Prime   10000.0 0.40     7.0    20.0 0.75      0.100
165          Princep     130.0 0.40     5.0    60.0 0.75      6.200
166            Probe    3000.0 0.40     5.0    14.0 0.75      1.500
167            Prowl    5000.0 0.40    30.0    90.0 0.75      0.275
168          Pursuit      10.0 0.90    20.0    90.0 0.75 200000.000
169           Pydrin    5300.0 0.25    10.0    35.0 0.75      0.002
170          Pyramin     120.0 0.85     5.0    21.0 0.75    400.000
171           Ramrod      80.0 0.40     3.0     6.0 0.75    613.000
172           Reflex      60.0 0.95    30.0   100.0 0.75 700000.000
173           Rescue      20.0 0.45     9.0    10.0 0.75 709000.000
174          Ridomil      50.0 0.70    30.0    70.0 0.75   8400.000
175          Ro-Neet     430.0 0.50     2.0    30.0 0.75     95.000
176          Ronstar    3200.0 0.50    20.0    60.0 0.75      0.700
177          Roundup   24000.0 0.60     2.5    47.0 0.75 900000.000
178           Rovral     700.0 0.40     5.0    14.0 0.75     13.900
179    Royal Slo-Gro      20.0 0.95    10.0    30.0 0.75 400000.000
180          Rubigan     600.0 0.40    30.0   360.0 0.75     14.000
181           Sancap     900.0 0.40     5.0    30.0 0.75     16.000
182            Savey    6200.0 0.40     5.0    30.0 0.75      0.500
183          Scepter      20.0 0.95    20.0    60.0 0.75 160000.000
184           Sencor      60.0 0.80     5.0    40.0 0.75   1220.000
185            Sevin     300.0 0.55     7.0    10.0 0.75    120.000
186           Sinbar      55.0 0.70    30.0   120.0 0.75    710.000
187        Slug-Geta     300.0 0.70    10.0    30.0 0.75     24.000
188          Sonalan    4000.0 0.40     4.0    60.0 0.75      0.300
189      Spectracide    1000.0 0.90     4.0    40.0 0.75     60.000
190            Spike      80.0 0.90    30.0   360.0 0.75   2500.000
191       Sprout Nip     400.0 0.90     8.0    30.0 0.75     89.000
192             Stam     149.0 0.70     1.0     1.0 0.75    200.000
193        Supracide     400.0 0.90     3.0     7.0 0.75    220.000
194          Surflan     600.0 0.40     5.0    20.0 0.75      2.500
195            Sutan     400.0 0.30     1.0    13.0 0.75     44.000
196             Swat       7.0 0.95     5.0    17.0 0.751000000.000
197           Tackle     113.0 0.95     5.0    14.0 0.75 250000.000
198          Talstar  240000.0 0.40     7.0    26.0 0.75      0.100
199           Tandem    5600.0 0.40     8.0    28.0 0.75      1.800
200           Tanone     250.0 0.65     2.0    40.0 0.75    200.000
201           Tattoo     570.0 0.85     3.0     5.0 0.75     40.000
202              TBZ    2500.0 0.60    30.0   403.0 0.75     50.000
203            Temik      40.0 0.70     7.0     7.0 0.75   6000.000
204    Temik Sulfone      10.0 0.70    20.0    20.0 0.75   6000.000
205  Temik Sulfoxide      30.0 0.70    30.0    30.0 0.75   6000.000
206          Tenoran    3000.0 0.40    15.0    60.0 0.75      2.500
207        Terbutrex    2000.0 0.50     5.0    42.0 0.75     22.000
208       Terrachlor    5000.0 0.40     4.0    21.0 0.75      0.440
209         Terraneb    1650.0 0.50    30.0   130.0 0.75      8.000
210        Terrazole    1000.0 0.60     3.0    20.0 0.75     50.000
211           Thimet    1000.0 0.60     2.0    60.0 0.75     22.000
212          Thiodan   12400.0 0.05     3.0    50.0 0.75      0.320
213           Thiram     670.0 0.50     8.0    15.0 0.75     30.000
214         Thistrol      20.0 0.95     7.0    14.0 0.75 200000.000
215           Tillam     430.0 0.70     4.0    14.0 0.75    100.000
216             Tilt    1000.0 0.70    30.0   110.0 0.75    110.000
217           Tolban    2240.0 0.35     1.0   140.0 0.75      0.100
218           Topsin    1830.0 0.40     5.0    10.0 0.75      3.500
219           Tordon      16.0 0.60     8.0    90.0 0.75 200000.000
220     Tralomethrin  100000.0 0.40     1.0    27.0 0.75      0.001
221          Treflan    8000.0 0.40     3.0    60.0 0.75      0.300
222         Tre-Hold     300.0 0.40     5.0    10.0 0.75    105.000
223         Tupersan     420.0 0.70    30.0    90.0 0.75     18.000
224          Turflon     780.0 0.70    15.0    46.0 0.75     23.000
225           Velpar      54.0 0.90    30.0    90.0 0.75   3300.000
226           Vendex    2300.0 0.20    30.0    90.0 0.75      0.013
227           Vernam     260.0 0.80     2.0    12.0 0.75    108.000
228       Volck oils    1000.0 0.50     2.0    10.0 0.75    100.000
229           Vydate      25.0 0.95     4.0     4.0 0.75 282000.000
230           Weedar      20.0 0.45     9.0    10.0 0.75 796000.000
231       Weed-B-Gon      80.0 0.45    10.0    24.0 0.75 500000.000
232           Wedone    1000.0 0.45     9.0    10.0 0.75     50.000
233           Zolone    1800.0 0.65     8.0    21.0 0.75      3.000
