Date	Time	Qobs	Cali_Valid_Flag
2000-12-16	00:00	4.77	C
2000-12-17	00:00	4.77	C
2000-12-18	00:00	4.44	C
2000-12-19	00:00	4.44	C
2000-12-20	00:00	4.44	C
2000-12-21	00:00	5.29	C
2000-12-22	00:00	6.56	C
2000-12-23	00:00	7.36	C
2000-12-24	00:00	7.36	C
2000-12-25	00:00	7.36	C
2000-12-26	00:00	7.15	C
2000-12-27	00:00	6.96	C
2000-12-28	00:00	6.76	C
2000-12-29	00:00	6.76	C
2000-12-30	00:00	6.76	C
2000-12-31	00:00	6.56	C
2001-01-01	00:00	6.49	C
2001-01-02	00:00	6.3	C
2001-01-03	00:00	6.3	C
2001-01-04	00:00	6.3	C
2001-01-05	00:00	6.3	C
2001-01-06	00:00	7.04	C
2001-01-07	00:00	6.67	C
2001-01-08	00:00	6.67	C
2001-01-09	00:00	6.3	C
2001-01-10	00:00	6.12	C
2001-01-11	00:00	5.98	C
2001-01-12	00:00	6.12	C
2001-01-13	00:00	5.93	C
2001-01-14	00:00	5.75	C
2001-01-15	00:00	5.93	C
2001-01-16	00:00	5.98	C
2001-01-17	00:00	5.52	C
2001-01-18	00:00	5.2	C
2001-01-19	00:00	5.2	C
2001-01-20	00:00	5.2	C
2001-01-21	00:00	5.2	C
2001-01-22	00:00	5.41	C
2001-01-23	00:00	5.38	C
2001-01-24	00:00	5.2	C
2001-01-25	00:00	5.2	C
2001-01-26	00:00	5.2	C
2001-01-27	00:00	5.38	C
2001-01-28	00:00	5.2	C
2001-01-29	00:00	5.01	C
2001-01-30	00:00	5.01	C
2001-01-31	00:00	5.01	C
2001-02-01	00:00	4.84	C
2001-02-02	00:00	4.67	C
2001-02-03	00:00	4.5	C
2001-02-04	00:00	4.5	C
2001-02-05	00:00	4.5	C
2001-02-06	00:00	4.5	C
2001-02-07	00:00	4.5	C
2001-02-08	00:00	4.37	C
2001-02-09	00:00	4.15	C
2001-02-10	00:00	4.15	C
2001-02-11	00:00	4.15	C
2001-02-12	00:00	4.15	C
2001-02-13	00:00	3.98	C
2001-02-14	00:00	3.81	C
2001-02-15	00:00	3.81	C
2001-02-16	00:00	3.81	C
2001-02-17	00:00	3.81	C
2001-02-18	00:00	3.81	C
2001-02-19	00:00	3.81	C
2001-02-20	00:00	3.81	C
2001-02-21	00:00	3.81	C
2001-02-22	00:00	3.81	C
2001-02-23	00:00	3.81	C
2001-02-24	00:00	3.81	C
2001-02-25	00:00	3.81	C
2001-02-26	00:00	4.15	C
2001-02-27	00:00	3.81	C
2001-02-28	00:00	3.46	C
2001-03-01	00:00	3.46	C
2001-03-02	00:00	3.46	C
2001-03-03	00:00	3.46	C
2001-03-04	00:00	3.29	C
2001-03-05	00:00	3.12	C
2001-03-06	00:00	3.12	C
2001-03-07	00:00	3.11	C
2001-03-08	00:00	3.12	C
2001-03-09	00:00	3.46	C
2001-03-10	00:00	3.46	C
2001-03-11	00:00	3.46	C
2001-03-12	00:00	3.46	C
2001-03-13	00:00	3.29	C
2001-03-14	00:00	3.46	C
2001-03-15	00:00	4.83	C
2001-03-16	00:00	3.81	C
2001-03-17	00:00	3.81	C
2001-03-18	00:00	3.81	C
2001-03-19	00:00	3.81	C
2001-03-20	00:00	3.8	C
2001-03-21	00:00	3.81	C
2001-03-22	00:00	4.5	C
2001-03-23	00:00	5.75	C
2001-03-24	00:00	3.98	C
2001-03-25	00:00	4.5	C
2001-03-26	00:00	5.18	C
2001-03-27	00:00	5.41	C
2001-03-28	00:00	5.41	C
2001-03-29	00:00	5.52	C
2001-03-30	00:00	5.41	C
2001-03-31	00:00	4.84	C
2001-04-01	00:00	4.15	C
2001-04-02	00:00	4.15	C
2001-04-03	00:00	5.57	C
2001-04-04	00:00	5.18	C
2001-04-05	00:00	4.84	C
2001-04-06	00:00	4.5	C
2001-04-07	00:00	4.5	C
2001-04-08	00:00	4.15	C
2001-04-09	00:00	3.98	C
2001-04-10	00:00	4.84	C
2001-04-11	00:00	4.84	C
2001-04-12	00:00	4.32	C
2001-04-13	00:00	3.81	C
2001-04-14	00:00	3.68	C
2001-04-15	00:00	3.45	C
2001-04-16	00:00	3.46	C
2001-04-17	00:00	3.46	C
2001-04-18	00:00	3.46	C
2001-04-19	00:00	3.46	C
2001-04-20	00:00	3.46	C
2001-04-21	00:00	3.46	C
2001-04-22	00:00	4.15	C
2001-04-23	00:00	4.15	C
2001-04-24	00:00	3.81	C
2001-04-25	00:00	3.46	C
2001-04-26	00:00	3.46	C
2001-04-27	00:00	3.29	C
2001-04-28	00:00	3.46	C
2001-04-29	00:00	3.63	C
2001-04-30	00:00	4.32	C
2001-05-01	00:00	4.32	C
2001-05-02	00:00	7.02	C
2001-05-03	00:00	5.98	C
2001-05-04	00:00	5.18	C
2001-05-05	00:00	5.18	C
2001-05-06	00:00	5.57	C
2001-05-07	00:00	7.41	C
2001-05-08	00:00	5.93	C
2001-05-09	00:00	5.38	C
2001-05-10	00:00	5.01	C
2001-05-11	00:00	4.15	C
2001-05-12	00:00	4.15	C
2001-05-13	00:00	4.67	C
2001-05-14	00:00	5.2	C
2001-05-15	00:00	7.82	C
2001-05-16	00:00	13.69	C
2001-05-17	00:00	9.07	C
2001-05-18	00:00	7.41	C
2001-05-19	00:00	6.85	C
2001-05-20	00:00	5.93	C
2001-05-21	00:00	5.93	C
2001-05-22	00:00	5.93	C
2001-05-23	00:00	5.57	C
2001-05-24	00:00	6.67	C
2001-05-25	00:00	6.67	C
2001-05-26	00:00	5.93	C
2001-05-27	00:00	6.3	C
2001-05-28	00:00	5.93	C
2001-05-29	00:00	5.75	C
2001-05-30	00:00	6.12	C
2001-05-31	00:00	5.2	C
2001-06-01	00:00	5.2	C
2001-06-02	00:00	7.04	C
2001-06-03	00:00	7.41	C
2001-06-04	00:00	11.17	C
2001-06-05	00:00	8.64	C
2001-06-06	00:00	8	C
2001-06-07	00:00	7.41	C
2001-06-08	00:00	7.22	C
2001-06-09	00:00	7.41	C
2001-06-10	00:00	6.67	C
2001-06-11	00:00	6.3	C
2001-06-12	00:00	6.67	C
2001-06-13	00:00	6.49	C
2001-06-14	00:00	6.67	C
2001-06-15	00:00	7.41	C
2001-06-16	00:00	6.67	C
2001-06-17	00:00	6.3	C
2001-06-18	00:00	6.07	C
2001-06-19	00:00	8.79	C
2001-06-20	00:00	10.97	C
2001-06-21	00:00	17.83	C
2001-06-22	00:00	36.57	C
2001-06-23	00:00	20.82	C
2001-06-24	00:00	30.82	C
2001-06-25	00:00	38.87	C
2001-06-26	00:00	34.04	C
2001-06-27	00:00	30.94	C
2001-06-28	00:00	29.1	C
2001-06-29	00:00	27.6	C
2001-06-30	00:00	27.6	C
2001-07-01	00:00	26.22	C
2001-07-02	00:00	35.19	C
2001-07-03	00:00	43.13	C
2001-07-04	00:00	41.4	C
2001-07-05	00:00	37.61	C
2001-07-06	00:00	40.37	C
2001-07-07	00:00	59.69	C
2001-07-08	00:00	52.67	C
2001-07-09	00:00	48.65	C
2001-07-10	00:00	47.04	C
2001-07-11	00:00	47.73	C
2001-07-12	00:00	43.01	C
2001-07-13	00:00	44.39	C
2001-07-14	00:00	38.18	C
2001-07-15	00:00	34.73	C
2001-07-16	00:00	35.65	C
2001-07-17	00:00	32.78	C
2001-07-18	00:00	30.48	C
2001-07-19	00:00	28.98	C
2001-07-20	00:00	27.95	C
2001-07-21	00:00	34.85	C
2001-07-22	00:00	47.38	C
2001-07-23	00:00	32.66	C
2001-07-24	00:00	28.06	C
2001-07-25	00:00	30.25	C
2001-07-26	00:00	40.94	C
2001-07-27	00:00	35.19	C
2001-07-28	00:00	27.49	C
2001-07-29	00:00	25.07	C
2001-07-30	00:00	24.38	C
2001-07-31	00:00	23	C
2001-08-01	00:00	20.47	C
2001-08-02	00:00	24.04	C
2001-08-03	00:00	27.37	C
2001-08-04	00:00	23.92	C
2001-08-05	00:00	23.92	C
2001-08-06	00:00	47.61	C
2001-08-07	00:00	46.69	C
2001-08-08	00:00	32.89	C
2001-08-09	00:00	31.05	C
2001-08-10	00:00	51.64	C
2001-08-11	00:00	55.66	C
2001-08-12	00:00	50.14	C
2001-08-13	00:00	41.63	C
2001-08-14	00:00	46	C
2001-08-15	00:00	46.46	C
2001-08-16	00:00	51.06	C
2001-08-17	00:00	61.64	C
2001-08-18	00:00	80.85	C
2001-08-19	00:00	86.71	C
2001-08-20	00:00	116.15	C
2001-08-21	00:00	124.2	C
2001-08-22	00:00	107.87	C
2001-08-23	00:00	103.5	C
2001-08-24	00:00	94.3	C
2001-08-25	00:00	90.28	C
2001-08-26	00:00	124.2	C
2001-08-27	00:00	129.95	C
2001-08-28	00:00	107.41	C
2001-08-29	00:00	112.59	C
2001-08-30	00:00	116.15	C
2001-08-31	00:00	108.33	C
2001-09-01	00:00	97.64	C
2001-09-02	00:00	90.39	C
2001-09-03	00:00	87.06	C
2001-09-04	00:00	85.33	C
2001-09-05	00:00	78.09	C
2001-09-06	00:00	71.42	C
2001-09-07	00:00	64.86	C
2001-09-08	00:00	58.65	C
2001-09-09	00:00	55.55	C
2001-09-10	00:00	55.66	C
2001-09-11	00:00	50.72	C
2001-09-12	00:00	44.74	C
2001-09-13	00:00	40.71	C
2001-09-14	00:00	37.49	C
2001-09-15	00:00	40.02	C
2001-09-16	00:00	41.63	C
2001-09-17	00:00	50.6	C
2001-09-18	00:00	38.3	C
2001-09-19	00:00	32.43	C
2001-09-20	00:00	30.48	C
2001-09-21	00:00	29.56	C
2001-09-22	00:00	29.44	C
2001-09-23	00:00	34.73	C
2001-09-24	00:00	30.36	C
2001-09-25	00:00	36.11	C
2001-09-26	00:00	32.32	C
2001-09-27	00:00	28.64	C
2001-09-28	00:00	40.94	C
2001-09-29	00:00	36.46	C
2001-09-30	00:00	29.33	C
2001-10-01	00:00	27.37	C
2001-10-02	00:00	30.02	C
2001-10-03	00:00	35.08	C
2001-10-04	00:00	32.66	C
2001-10-05	00:00	27.6	C
2001-10-06	00:00	28.64	C
2001-10-07	00:00	31.05	C
2001-10-08	00:00	39.91	C
2001-10-09	00:00	32.32	C
2001-10-10	00:00	28.64	C
2001-10-11	00:00	27.37	C
2001-10-12	00:00	26.68	C
2001-10-13	00:00	26.68	C
2001-10-14	00:00	24.73	C
2001-10-15	00:00	23.69	C
2001-10-16	00:00	27.37	C
2001-10-17	00:00	25.07	C
2001-10-18	00:00	21.85	C
2001-10-19	00:00	23.46	C
2001-10-20	00:00	18.4	C
2001-10-21	00:00	20.24	C
2001-10-22	00:00	28.29	C
2001-10-23	00:00	34.04	V
2001-10-24	00:00	25.99	V
2001-10-25	00:00	22.43	V
2001-10-26	00:00	18.4	V
2001-10-27	00:00	17.83	V
2001-10-28	00:00	19.09	V
2001-10-29	00:00	17.14	V
2001-10-30	00:00	17.14	V
2001-10-31	00:00	16.56	V
2001-11-01	00:00	16.56	V
2001-11-02	00:00	17.14	V
2001-11-03	00:00	16.56	V
2001-11-04	00:00	15.41	V
2001-11-05	00:00	14.84	V
2001-11-06	00:00	14.26	V
2001-11-07	00:00	14.03	V
2001-11-08	00:00	13.69	V
2001-11-09	00:00	13.34	V
2001-11-10	00:00	13.11	V
2001-11-11	00:00	12.65	V
2001-11-12	00:00	34.62	V
2001-11-13	00:00	45.89	V
2001-11-14	00:00	21.28	V
2001-11-15	00:00	17.71	V
2001-11-16	00:00	15.99	V
2001-11-17	00:00	15.41	V
2001-11-18	00:00	14.95	V
2001-11-19	00:00	14.72	V
2001-11-20	00:00	14.26	V
2001-11-21	00:00	14.26	V
2001-11-22	00:00	14.03	V
2001-11-23	00:00	13.69	V
2001-11-24	00:00	13.69	V
2001-11-25	00:00	13.11	V
2001-11-26	00:00	13.11	V
2001-11-27	00:00	13.11	V
2001-11-28	00:00	12.88	V
2001-11-29	00:00	12.54	V
2001-11-30	00:00	12.54	V
2001-12-01	00:00	11.96	V
2001-12-02	00:00	11.96	V
2001-12-03	00:00	11.5	V
2001-12-04	00:00	11.5	V
2001-12-05	00:00	11.5	V
2001-12-06	00:00	10.89	V
2001-12-07	00:00	10.89	V
2001-12-08	00:00	10.89	V
2001-12-09	00:00	10.41	V
2001-12-10	00:00	10.18	V
2001-12-11	00:00	9.95	V
2001-12-12	00:00	10.01	V
2001-12-13	00:00	10.01	V
2001-12-14	00:00	9.55	V
2001-12-15	00:00	9.32	V
2001-12-16	00:00	9.07	V
2001-12-17	00:00	9.07	V
2001-12-18	00:00	9.07	V
2001-12-19	00:00	8.64	V
2001-12-20	00:00	8.21	V
2001-12-21	00:00	8.21	V
2001-12-22	00:00	8.05	V
2001-12-23	00:00	8	V
2001-12-24	00:00	7.8	V
2001-12-25	00:00	7.41	V
2001-12-26	00:00	7.41	V
2001-12-27	00:00	7.22	V
2001-12-28	00:00	7.22	V
2001-12-29	00:00	7.22	V
2001-12-30	00:00	7.22	V
2001-12-31	00:00	7.02	V
2002-01-01	00:00	7.36	V
2002-01-02	00:00	7.36	V
2002-01-03	00:00	7.13	V
2002-01-04	00:00	6.9	V
2002-01-05	00:00	6.9	V
2002-01-06	00:00	6.9	V
2002-01-07	00:00	6.46	V
2002-01-08	00:00	6.46	V
2002-01-09	00:00	6.26	V
2002-01-10	00:00	6.26	V
2002-01-11	00:00	6.1	V
2002-01-12	00:00	6.04	V
2002-01-13	00:00	6.04	V
2002-01-14	00:00	6.1	V
2002-01-15	00:00	5.82	V
2002-01-16	00:00	5.64	V
2002-01-17	00:00	6.21	V
2002-01-18	00:00	6.46	V
2002-01-19	00:00	5.82	V
2002-01-20	00:00	5.61	V
2002-01-21	00:00	5.21	V
2002-01-22	00:00	5.18	V
2002-01-23	00:00	5.21	V
2002-01-24	00:00	5.01	V
2002-01-25	00:00	4.81	V
2002-01-26	00:00	4.81	V
2002-01-27	00:00	4.81	V
2002-01-28	00:00	4.81	V
2002-01-29	00:00	4.62	V
2002-01-30	00:00	4.44	V
2002-01-31	00:00	4.06	V
2002-02-01	00:00	3.88	V
2002-02-02	00:00	4.06	V
2002-02-03	00:00	3.88	V
2002-02-04	00:00	3.7	V
2002-02-05	00:00	3.7	V
2002-02-06	00:00	3.7	V
2002-02-07	00:00	3.7	V
2002-02-08	00:00	3.68	V
2002-02-09	00:00	3.54	V
2002-02-10	00:00	3.54	V
2002-02-11	00:00	3.54	V
2002-02-12	00:00	3.37	V
2002-02-13	00:00	3.37	V
2002-02-14	00:00	3.37	V
2002-02-15	00:00	3.37	V
2002-02-16	00:00	3.37	V
2002-02-17	00:00	3.37	V
2002-02-18	00:00	3.37	V
2002-02-19	00:00	3.21	V
2002-02-20	00:00	3.21	V
2002-02-21	00:00	3.21	V
2002-02-22	00:00	3.04	V
2002-02-23	00:00	3.04	V
2002-02-24	00:00	2.76	V
2002-02-25	00:00	2.76	V
2002-02-26	00:00	2.76	V
2002-02-27	00:00	2.62	V
2002-02-28	00:00	2.62	V
2002-03-01	00:00	2.62	V
2002-03-02	00:00	2.62	V
2002-03-03	00:00	2.48	V
2002-03-04	00:00	2.62	V
2002-03-05	00:00	2.48	V
2002-03-06	00:00	2.48	V
2002-03-07	00:00	2.3	V
2002-03-08	00:00	2.35	V
2002-03-09	00:00	2.21	V
2002-03-10	00:00	2.21	V
2002-03-11	00:00	2.21	V
2002-03-12	00:00	2.21	V
2002-03-13	00:00	2.35	V
2002-03-14	00:00	2.35	V
2002-03-15	00:00	2.19	V
2002-03-16	00:00	2.21	V
2002-03-17	00:00	2.21	V
2002-03-18	00:00	2.48	V
2002-03-19	00:00	2.35	V
2002-03-20	00:00	2.3	V
2002-03-21	00:00	2.35	V
2002-03-22	00:00	2.35	V
2002-03-23	00:00	1.38	V
2002-03-24	00:00	4.06	V
2002-03-25	00:00	3.04	V
2002-03-26	00:00	2.99	V
2002-03-27	00:00	3.34	V
2002-03-28	00:00	3.34	V
2002-03-29	00:00	3.68	V
2002-03-30	00:00	3.34	V
2002-03-31	00:00	2.9	V
